current_epoch,passes_total
230,228129
230,228327
230,228724
231,229108
231,229490
231,229706
232,230056
232,230449
232,230656
233,231038
233,231421
233,231589
234,231984
234,232364
234,232564
235,232955
235,233334
235,233497
236,233898
236,234281
236,234480
237,234872
237,235215
237,235443
237,235809
238,236195
238,236586
238,236749
239,237143
239,237534
239,237621
240,238005
240,238345
240,238542
241,238928
241,239314
241,239707
242,239906
242,240259
242,240461
243,240853
243,241245
243,241617
244,241839
244,242189
244,242530
244,242779
245,243169
245,243413
245,243721
246,244114
246,244349
246,244701
247,245091
247,245485
247,245728
248,246040
248,246438
248,246686
249,247026
249,247265
249,247465
250,247861
250,248241
250,248444
251,248845
251,249196
251,249452
251,249797
252,250189
252,250581
252,250755
253,251152
253,251536
253,251743
254,252136
254,252490
254,252699
255,253093
255,253402
255,253687
256,254084
256,254343
256,254635
257,255034
257,255425
257,255704
258,256017
258,256218
258,256567
259,256842
259,257233
259,257624
260,257832
260,258187
260,258580
260,258778
261,259175
261,259381
261,259775
262,260130
262,260520
262,260724
263,261113
263,261441
263,261706
264,262058
264,262313
264,262648
265,263040
265,263434
265,263739
266,263989
266,264283
266,264582
267,264977
267,265370
267,265537
268,265935
268,266324
268,266416
269,266796
269,267188
269,267545
269,267749
270,268141
270,268539
270,268741
271,269134
271,269462
271,269690
272,270078
272,270363
272,270674
273,271027
273,271417
273,271643
274,272008
274,272398
274,272706
275,272961
275,273286
275,273558
276,273946
276,274337
276,274506
277,274890
277,275279
277,275481
278,275878
278,276097
278,276320
278,276707
279,277097
279,277489
279,277696
280,278055
280,278412
280,278648
281,279036
281,279379
281,279639
282,279992
282,280389
282,280728
283,280982
283,281384
283,281581
284,281977
284,282337
284,282534
285,282932
285,283327
285,283532
286,283929
286,284303
286,284498
287,284896
287,285291
287,285678
288,285887
288,286280
288,286593
289,286840
289,287237
289,287476
290,287840
290,288240
290,288437
291,288837
291,289190
291,289588
292,289807
292,290155
292,290408
293,290805
293,291205
293,291560
294,291764
294,292168
294,292451
295,292763
295,293169
295,293363
295,293721
296,294120
296,294518
296,294718
297,295112
297,295507
297,295596
298,295954
298,296319
298,296545
299,296937
299,297330
299,297726
300,297934
300,298288
300,298491
301,298891
301,299285
301,299503
302,299890
302,300289
302,300452
303,300849
303,301249
303,301455
304,301853
304,302258
304,302612
305,302820
305,303218
305,303555
306,303816
306,304210
306,304478
307,304820
307,305173
307,305256
307,305645
308,306049
308,306439
308,306640
309,306997
309,307387
309,307593
310,307989
310,308269
310,308586
311,308947
311,309335
311,309666
312,309936
312,310338
312,310537
313,310893
313,311297
313,311494
314,311893
314,312289
314,312498
315,312853
315,313252
315,313470
316,313857
316,314252
316,314603
317,314803
317,315075
317,315327
317,315672
318,316066
318,316266
318,316622
319,317014
319,317414
319,317647
320,318011
320,318405
320,318571
321,318968
321,319358
321,319559
322,319952
322,320327
322,320496
323,320886
323,321286
323,321681
324,321881
324,322282
324,322490
325,322850
325,323246
325,323526
326,323846
326,324250
326,324450
326,324726
327,325119
327,325472
327,325681
328,326082
328,326475
328,326677
329,327078
329,327419
329,327635
330,328029
330,328304
330,328632
331,329028
331,329419
331,329634
332,329978
332,330373
332,330582
333,330987
333,331374
333,331583
334,331943
334,332332
334,332534
335,332927
335,333318
335,333673
336,333916
336,334248
336,334479
337,334868
337,335264
337,335534
338,335880
338,336239
338,336455
339,336855
339,337249
339,337444
340,337835
340,338194
340,338417
341,338814
341,339208
341,339606
342,339809
342,340171
342,340398
343,340773
343,341173
343,341374
344,341767
344,342126
344,342326
345,342721
345,343123
345,343514
346,343715
346,344075
